,S. No.,Message_body,Label,cleaned,target
463,464,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Non-Spam,wnt buy bmw car urgentlyits vry urgentbut shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,0
464,465,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",Non-Spam,boy loved gal propsd didnt mind lttrs frnds threw thm boy decided aproach gal time truck speeding towards gal hit girld boy ran like hell saved asked run fast boy replied boost secret energy instantly girl shouted energy thy lived happily gthr drinking boost evrydy moral story free msgsd gud,0
465,466,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Non-Spam,news hassling get weed week andres money haughaighgtujhyguj,0
466,467,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,Spam,msg mobile content order resent previous attempt failed due network error query customersqueries,1
467,468,Nope thats fine. I might have a nap tho! ,Non-Spam,nope thats fine might nap tho,0
468,469,"Aight, call me once you're close",Non-Spam,aight call close,0
469,470,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",Non-Spam,well confuses thing doesnt thought friend maybe wrong thing already sort invited tho may money,0
470,471,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",Spam,themobhit link get premium pink panther game new sugababes crazy zebra animation badass hoody wallpaperall free,1
471,472,Sorry about that this is my mates phone and i didnt write it love Kate,Non-Spam,sorry mate phone didnt write love kate,0
472,473,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,Non-Spam,really really broke amount small even ltgt,0
473,474,K.k.this month kotees birthday know?,Non-Spam,kkthis month kotees birthday know,0
474,475,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",Non-Spam,shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem,0
475,476,Gokila is talking with you aha:),Non-Spam,gokila talking aha,0
476,477,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Non-Spam,fri okie lorgoin drivin den shoppin,0
477,478,No no. I will check all rooms befor activities,Non-Spam,check room befor activity,0
478,479,"St andre, virgil's cream",Non-Spam,andre virgil cream,0
479,480,What type of stuff do you sing?,Non-Spam,type stuff sing,0
480,481,I wont do anything de.,Non-Spam,wont anything,0
481,482,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",Non-Spam,good morning suffering fever dysentry able office today,0
482,483,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,Non-Spam,omg one thing another cat worm bad day end,0
483,484,Sorry i missed your call. Can you please call back.,Non-Spam,sorry missed call please call back,0
484,485,Hey happy birthday...,Non-Spam,hey happy birthday,0
485,486,Aiya we discuss later lar... Pick ü up at 4 is it?,Non-Spam,aiya discus later lar pick,0
486,487,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Non-Spam,amazing rearrange letter give meaning dormitory dirty room astronomer moon starer eye see election result lie let recount motherinlaw woman hitler eleven plus two twelve plus one amazing,0
487,488,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS  FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IL CALL U""",Non-Spam,keep problem heart nobody fight amp fight self amp win battle vivekanand ham yeah give call got minute ham babe uawakefeellikw shitjustfound via aletter thatmum gotmarried thnovbehind ourbacks fuckinniceselfishdeviousbitchanywayil call,0
488,489,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,Non-Spam,mark work tomorrow get work house meet afterwards,0
489,490,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,Spam,want new nokia colour phone deliveredtomorrow free minute mobile free text free camcorder reply call,1
490,491,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",Non-Spam,guy flash call call madam take care,0
491,492,"Well, i'm glad you didn't find it totally disagreeable ... Lol",Non-Spam,well glad find totally disagreeable lol,0
492,493,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",Spam,attempt contract week top prize either cash prize call,1
493,494,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Non-Spam,want sent ltgt mesages today thats sorry hurt,0
494,495,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam,gud dearslp welltake careswt dreamsmuah,0
495,496,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,Spam,win shopping spree every week starting play text store skilgme tscs winawk age perweeksub,1
496,497,As in different styles?,Non-Spam,different style,0
497,498,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,Spam,alfie moon child need song mob tell txt tone charity nokias poly charity polys zed profit charity,1
498,499,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),Non-Spam,hai dear friend new amp present number rajitha raj ranju,0
499,500,Talk to g and x about that,Non-Spam,talk,0
500,501,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,Spam,break term condition apply claim mustprovide claim number,1
501,502,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,Non-Spam,call later afternoon onwords mtnl service get problem south mumbai hear listen,0
502,503,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,Non-Spam,brother transfered ltgt ltgt,0
503,504,I dunno lei... Like dun haf...,Non-Spam,dunno lei like dun haf,0
504,505,Ok i also wan 2 watch e 9 pm show...,Non-Spam,also wan watch show,0
505,506,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Non-Spam,havent stuck orchard dad car going dinner leh free tonight,0
506,507,"Sorry, I'll call you  later. I am in meeting sir.",Non-Spam,sorry call later meeting sir,0
507,508,I think i am disturbing her da,Non-Spam,think disturbing,0
508,509,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,Spam,free video camera phone half price line rental mths cross ntwk min txts call mobileupd calloptout,1
509,510,"Geeeee ... Your internet is really bad today, eh ?",Non-Spam,geeeee internet really bad today,0
510,511,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Non-Spam,hey next sun basic yoga course bugis pilate intro next sat tell time free,0
511,512,Goodnight da thangam I really miss u dear.,Non-Spam,goodnight thangam really miss dear,0
512,513,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,Non-Spam,train back northampton afraid staying skyving today around wednesday though fancy club week way,0
513,514,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Spam,double min double txt price linerental latest orange bluetooth mobile call mobileupd latest offer calloptoutlf,1
514,515,Lmao you know me so well...,Non-Spam,lmao know well,0
515,516,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",Non-Spam,tick tick tick could die loneliness know pout stomp foot need,0
516,517,With my sis lor... We juz watched italian job.,Non-Spam,lor juz watched italian job,0
517,518,I will vote for wherever my heart guides me,Non-Spam,vote wherever heart guide,0
518,519,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,Non-Spam,yeah basically time next week get away mom amp get,0
519,520,Hmmm.still we dont have opener?,Non-Spam,hmmmstill dont opener,0
520,521,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,Non-Spam,desire going doctor liver get bit stylish get hair managed thats,0
521,522,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",Non-Spam,sent customer service cum account executive mail detail contact,0
522,523,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",Non-Spam,dunno dad said home bring lunch yup lor call reach school lor,0
523,524,O ic lol. Should play 9 doors sometime yo,Non-Spam,lol play door sometime,0
524,525,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,Spam,jamster get free wallpaper text heart apply need help call,1
525,526,She ran off with a younger man. we will make pretty babies together :),Non-Spam,ran younger man make pretty baby together,0
526,527,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,Spam,natalie inviting friend reply yes see stop send stop frnd,1
527,528,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Non-Spam,pls clarify back open return ticket preponed back kerala,0
528,529,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Non-Spam,thanks talk saturday dear cherish brother role model,0
529,530,(You didn't hear it from me),Non-Spam,hear,0
530,531,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,Spam,believe true incredible txts reply learn truly amazing thing blow mind ofwd ptxt,1
531,532,How many times i told in the stage all use to laugh. You not listen aha.,Non-Spam,many time told stage use laugh listen aha,0
532,533,I want to go to perumbavoor,Non-Spam,want perumbavoor,0
533,534,"* Was really good to see you the other day dudette, been missing you!",Non-Spam,really good see day dudette missing,0
534,535,Ok i vl..do u know i got adsense approved..,Non-Spam,vldo know got adsense approved,0
535,536,Hey... Very inconvenient for your sis a not huh?,Non-Spam,hey inconvenient huh,0
536,537,Is there coming friday is leave for pongal?do you get any news from your work place.,Non-Spam,friday leave pongaldo get news work place,0
537,538,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),Spam,like tell deepest darkest fantasy call pmin stop text call nat rate,1
538,539,Go chase after her and run her over while she's crossing the street,Non-Spam,chase run crossing street,0
539,540,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,Spam,private account statement show unredeemed sim point call identifier codexx expires,1
540,541,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,Spam,cashbalance currently pound maximize cashin send pmeg hgsuitelands rowwjhl,1
541,542,I was gonna ask you lol but i think its at 7,Non-Spam,gon ask lol think,0
542,543,Where you. What happen,Non-Spam,happen,0
543,544,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Non-Spam,anyway holla whenever around need excuse creep people sarasota,0
544,545,Yes its possible but dint try. Pls dont tell to any one k,Non-Spam,yes possible dint try pls dont tell one,0
545,546,:-( sad puppy noise,Non-Spam,sad puppy noise,0
546,547,"It's cool, we can last a little while. Getting more any time soon?",Non-Spam,cool last little getting time soon,0
547,548,Great! How is the office today?,Non-Spam,great office today,0
548,549,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,Non-Spam,babe talking think good boy missing love,0
549,550,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,Spam,dear xxxxxxx invited xchat final attempt contact txt chat pmsgrcvdhgsuitelandsrowwjhl ldn,1
550,551,Hey gals...U all wanna meet 4 dinner at nìte? ,Non-Spam,hey galsu wan meet dinner nte,0
551,552,I think the other two still need to get cash but we can def be ready by 9,Non-Spam,think two still need get cash def ready,0
552,553,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Non-Spam,hello boytoy geeee missing today like send remind thinking loved loving kiss,0
553,554,"Uncle G, just checking up on you. Do have a rewarding month",Non-Spam,uncle checking rewarding month,0
554,555,U attend ur driving lesson how many times a wk n which day?,Non-Spam,attend driving lesson many time day,0
555,556,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,Spam,guaranteed cash prize claim prize call customer service representative ampm cost,1
556,557,"By the way, 'rencontre' is to meet again. Mountains dont....",Non-Spam,way meet mountain dont,0
557,558,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",Non-Spam,mobile numberpls mail idconvey regard achanammarakheshqatar,0
558,559,Go fool dont cheat others ok,Non-Spam,fool dont cheat others,0
559,560,Oh k. . I will come tomorrow,Non-Spam,tomorrow,0
560,561,ILL B DOWN SOON,Non-Spam,ill soon,0
561,562,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,Non-Spam,guess pub happy pig clover whatever saying,0
562,563,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,Non-Spam,someone year ltgt toyota camry like olayiwola mileage ltgt kit clean need know much sell raise dough soon landing sell holla back,0
563,564,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,Spam,congratulation awarded gift voucher gift guaranteed freeentry wkly draw music tncs,1
564,565,You still around? Looking to pick up later,Non-Spam,still around looking pick later,0
565,566,"Nope. Since ayo travelled, he has forgotten his guy",Non-Spam,nope since ayo travelled forgotten guy,0
566,567,Well its not like you actually called someone a punto. That woulda been worse.,Non-Spam,well like actually called someone punto woulda worse,0
567,568,"Hmph. Go head, big baller.",Non-Spam,hmph head big baller,0
568,569,Can you talk with me..,Non-Spam,talk,0
569,570,Esplanade lor. Where else...,Non-Spam,esplanade lor else,0
570,571,Happy new year. Hope you are having a good semester,Non-Spam,happy new year hope good semester,0
571,572,"Just looked it up and addie goes back Monday, sucks to be her",Non-Spam,looked addie back monday suck,0
572,573,My drive can only be read. I need to write,Non-Spam,drive read need write,0
573,574,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",Non-Spam,hey kate hope give buz wedlunch outsomewhere adrink towncud watershd bit ppl fromwrk bthere love petexxx,0
574,575,I'm hungry buy smth home...,Non-Spam,hungry buy smth home,0
575,576,"We made it! Eta at taunton is 12:30 as planned, hope thats still okday?! Good to see you! :-xx",Non-Spam,made eta taunton planned hope thats still okday good see,0
576,577,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,Spam,phony award today voda number ending xxxx selected receive award match please call quoting claim code standard rate app,1
577,578,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,Non-Spam,telling coulda real valentine never pick nothing,0
578,579,Which channel:-):-):):-).,Non-Spam,channel,0
579,580,No rushing. I'm not working. I'm in school so if we rush we go hungry.,Non-Spam,rushing working school rush hungry,0
580,581,That's y u haf 2 keep me busy...,Non-Spam,haf keep busy,0
581,582,Dont let studying stress you out. L8r.,Non-Spam,dont let studying stress,0
582,583,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,Spam,goldviking inviting friend reply yes see stop send stop frnd,1
583,584,Networking job is there.,Non-Spam,networking job,0
584,585,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,Non-Spam,slept thinkthis time ltgt dangerous,0
585,586,I said its okay. Sorry,Non-Spam,said okay sorry,0
586,587,So what u doing today?,Non-Spam,today,0
587,588,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),Non-Spam,spending new year brother family let plan meet next week ready spoiled,0
588,589,JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,Non-Spam,jade paul didnt txt remember barmed want talk txt,0
589,590,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",Non-Spam,boy late home father power frndship,0
590,591,You are gorgeous! keep those pix cumming :) thank you!,Non-Spam,gorgeous keep pix cumming thank,0
591,592,Yar... I tot u knew dis would happen long ago already.,Non-Spam,yar tot knew dis would happen long ago already,0
592,593,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,Non-Spam,aiyo poor thing dun wan eat bathe already,0
593,594,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,Non-Spam,oops shower called hey parking garage collapsed university hospital see crazy stuff like happen,0
594,595,I'm fine. Hope you are good. Do take care.,Non-Spam,fine hope good take care,0
595,596,Hey come online! Use msn... We are all there,Non-Spam,hey online use msn,0
596,597,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,Non-Spam,supposed meet discus abt trip thought xuhui told afternoon thought lesson,0
597,598,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,Non-Spam,cme want morow wil cme got dear didnt say time,0
598,599,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,Non-Spam,future planned tomorrow result today best present enjoy future,0
599,600,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,Spam,donate unicef asian tsunami disaster support fund texting donate added next bill,1
600,601,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,Spam,urgent trying contact today draw show prize guaranteed call land line claim valid,1
601,602,"A few people are at the game, I'm at the mall with iouri and kaila",Non-Spam,people game mall iouri kaila,0
602,603,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,Spam,dear voucher holder next meal use following link enjoy dining experience,1
603,604,I want to see your pretty pussy...,Non-Spam,want see pretty pussy,0
604,605,Yup ok...,Non-Spam,yup,0
605,606,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",Non-Spam,bit smile hppnss drop tear sorrow part heart life heart like mine wil care forevr goodfriend,0
606,607,I want  &lt;#&gt;  rs da:)do you have it?,Non-Spam,want ltgt dado,0
607,608,"What i mean was i left too early to check, cos i'm working a 9-6.",Non-Spam,mean left early check working,0
608,609,Why didn't u call on your lunch?,Non-Spam,call lunch,0
609,610,I'm vivek:)i got call from your number.,Non-Spam,viveki got call number,0
610,611,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",Non-Spam,ahhhhjust woken uphad bad dream thoso dont like right didnt know anything night guess,0
611,612,Doing my masters. When will you buy a bb cos i have for sale and how's bf,Non-Spam,master buy sale,0
612,613,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,Non-Spam,back dinner rite dad ask confirm wif,0
613,614,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,Non-Spam,lost pound since doc visit last week woot woot gon celebrate stuffing face,0
614,615,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",Spam,select service added benefit call specially trained advisor free mobile dialling,1
615,616,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,Non-Spam,baby sat bloody bus wont home wan somethin later call later ortxt back jess,0
616,617,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,Non-Spam,probably much fun get message thought txt bored james farting night,0
617,618,I am in bus on the way to calicut,Non-Spam,bus way calicut,0
618,619,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",Spam,amy sending free phone number couple day give access adult party,1
619,620,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,Spam,great news call freefone claim guaranteed cash gift speak live operator,1
620,621,I'm already back home so no probably not,Non-Spam,already back home probably,0
621,622,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",Non-Spam,anyway think secure anything lem know want drive south chill,0
622,623,Wrong phone! This phone! I answer this one but assume the other is people i don't well,Non-Spam,wrong phone phone answer one assume people well,0
623,624,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,Non-Spam,check maili mailed varma kept copy regarding membershiptake careinsha allah,0
624,625,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Non-Spam,eatin lor goin back work soon mountain deer show huh watch liao nice,0
625,626,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,Non-Spam,omg make wedding chapel frontierville get good stuff,0
626,627,Ü go home liao? Ask dad to pick me up at 6...,Non-Spam,home liao ask dad pick,0
627,628,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,Non-Spam,tomarrow want got court ltdecimalgt bus stand,0
628,629,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,Non-Spam,cancelled yeah baby well sound important understand darlin give ring later fone love kate,0
629,630,G wants to know where the fuck you are,Non-Spam,want know fuck,0
630,631,K..k.:)congratulation ..,Non-Spam,kkcongratulation,0
631,632,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",Non-Spam,hey babe going ever figure going new year,0
632,633,Hey do you want anything to buy:),Non-Spam,hey want anything buy,0
633,634,Once free call me sir.,Non-Spam,free call sir,0
634,635,Match started.india  &lt;#&gt;  for 2,Non-Spam,match startedindia ltgt,0
635,636,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",Non-Spam,good morning boytoy yummy lip sexy bun think crave need,0
636,637,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",Spam,sexychat girl waiting text text great night chatting send stop stop service,1
637,638,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",Spam,got take take part wrc rally lucozade energy text rally see pack lucozadecoukwrc itcould,1
638,639,Just hopeing that wasnt too pissed up to remember and has gone off to his sisters or something!,Non-Spam,hopeing wasnt pissed remember gone sister something,0
639,640,Wanna do some art?! :D,Non-Spam,wan art,0
640,641,"Oh yes, why is it like torture watching england?",Non-Spam,yes like torture watching england,0
641,642,Ok... Let u noe when i leave my house.,Non-Spam,let noe leave house,0
642,643,We can go 4 e normal pilates after our intro...  ,Non-Spam,normal pilate intro,0
643,644,Oh yah... We never cancel leh... Haha ,Non-Spam,yah never cancel leh haha,0
644,645,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,Non-Spam,dear call urgnt know whats problem want work problem least tell wating reply,0
645,646,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",Non-Spam,hearin wat day let ask something different smile today gud evng,0
646,647,"G says you never answer your texts, confirm/deny",Non-Spam,say never answer text confirmdeny,0
647,648,Re your call; You didn't see my facebook huh?,Non-Spam,call see facebook huh,0
648,649,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,Non-Spam,sitting waiting everyone get suite take shower,0
649,650,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",Spam,time tried contact pound prize claim easy call per min btnationalrate,1
650,651,"Just dropped em off, omw back now",Non-Spam,dropped omw back,0
651,652,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Non-Spam,took hooch walk toaday fell splat grazed knee everything stayed home see tomorrow,0
652,653,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,Non-Spam,already got flaky parent supposed child job support parentnot ride age anyway supposed support hurt unintentional hurt nonetheless,0
653,654,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",Spam,goal arsenal henry liverpool henry score simple shot yard pas bergkamp give arsenal goal margin min,1
654,655,I am on the way to tirupur.,Non-Spam,way tirupur,0
655,656,Love that holiday Monday feeling even if I have to go to the dentists in an hour,Non-Spam,love holiday monday feeling even dentist hour,0
656,657,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,Non-Spam,regret inform made mistakeu never actually bornplease report yor local hospital terminatedwe sorry inconvenience,0
657,658,Will do. Have a good day,Non-Spam,good day,0
658,659,"I'm in solihull, | do you want anything?",Non-Spam,solihull want anything,0
659,660,Then anything special?,Non-Spam,anything special,0
660,661,Will you come online today night,Non-Spam,online today night,0
661,662,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,Spam,warner village colin farrell swat wkend village get free med popcornjust show msgticket valid reply sony mre film offer,1
662,663,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",Non-Spam,mean post wrote like many time ritten stuff let sit feeling time angry left hit send stop checked phone got car said sleep bored would time clean fold laundry etc least make bed,0
663,664,I;m reaching in another 2 stops.,Non-Spam,reaching another stop,0
664,665,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,Spam,free polyphonic ringtone text super get free poly tone week pobox subscription,1
665,666,Taka lor. Wat time u wan 2 come n look 4 us?,Non-Spam,taka lor wat time wan look,0
666,667,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",Spam,guaranteed latest nokia phone ipod player prize txt word collect ibhltd ldnwh pmtmsgrcvd,1
667,668,"Haha, that was the first person I was gonna ask",Non-Spam,haha first person gon ask,0
668,669,Oh for fuck's sake she's in like tallahassee,Non-Spam,fuck sake like tallahassee,0
669,670,I cant pick the phone right now. Pls send a message,Non-Spam,cant pick phone right pls send message,0
